feature_name,importance_gain,importance_split,run
CreditAmount,138.33133971691132,73,9
Sex&Marital_Status,0.0,0,9
PaymentStatusofPreviousCredit,0.0,0,9
Lengthofcurrentemployment,0.0,0,9
Purpose,16.93937909603119,13,9
Instalmentpercent,20.728276133537292,11,9
ConcurrentCredits,0.0,0,9
Typeofapartment,0.0,0,9
NoofCreditatthisBank,0.0,0,9
Guarantors,0.0,0,9
Occupation,0.0,0,9
Noofdependents,0.0,0,9
DurationinCurrentaddress,24.895747125148773,14,9
AccountBalance,14.31085330247879,10,10
ValueSavings,0.0,0,10
Age,26.37715995311737,16,10
Duration,11.034757051616907,8,10
Mostvaluableavailableasset,83.28786298632622,26,10
CreditAmount,61.829794973134995,46,10
Sex&Marital_Status,0.0,0,10
PaymentStatusofPreviousCredit,0.0,0,10
Lengthofcurrentemployment,0.7695350050926208,1,10
Purpose,5.940729975700378,5,10
Instalmentpercent,11.131262928247452,10,10
ConcurrentCredits,0.0,0,10
Typeofapartment,0.0,0,10
NoofCreditatthisBank,0.0,0,10
Guarantors,0.0,0,10
Occupation,0.0,0,10
Noofdependents,0.0,0,10
DurationinCurrentaddress,84.2264795601368,28,10
AccountBalance,12.726533114910126,9,11
ValueSavings,0.0,0,11
Age,67.97456622123718,33,11
Duration,18.104173690080643,16,11
Mostvaluableavailableasset,5.32088702917099,5,11
CreditAmount,75.12394762039185,49,11
Sex&Marital_Status,0.0,0,11
PaymentStatusofPreviousCredit,0.0,0,11
Lengthofcurrentemployment,11.50809632986784,9,11
Purpose,10.008042991161346,9,11
Instalmentpercent,3.763393998146057,4,11
ConcurrentCredits,0.0,0,11
Typeofapartment,0.0,0,11
NoofCreditatthisBank,0.0,0,11
Guarantors,0.0,0,11
Occupation,0.0,0,11
Noofdependents,0.0,0,11
DurationinCurrentaddress,29.390204936265945,16,11
AccountBalance,2.8659918904304504,2,12
ValueSavings,0.0,0,12
Age,56.001385509967804,29,12
Duration,14.077265977859497,10,12
Mostvaluableavailableasset,75.06180322170258,28,12
CreditAmount,88.27451050281525,48,12
Sex&Marital_Status,0.0,0,12
PaymentStatusofPreviousCredit,0.0,0,12
Lengthofcurrentemployment,18.316439986228943,7,12
Purpose,13.292122066020966,12,12
Instalmentpercent,14.014252066612244,9,12
ConcurrentCredits,0.0,0,12
Typeofapartment,0.0,0,12
NoofCreditatthisBank,0.0,0,12
Guarantors,0.0,0,12
Occupation,0.0,0,12
Noofdependents,0.0,0,12
DurationinCurrentaddress,5.12247708439827,5,12
AccountBalance,19.590379148721695,14,13
ValueSavings,0.0,0,13
Age,18.16407722234726,13,13
Duration,23.59537386894226,17,13
Mostvaluableavailableasset,53.36750018596649,18,13
CreditAmount,44.7339448928833,27,13
Sex&Marital_Status,0.0,0,13
PaymentStatusofPreviousCredit,0.0,0,13
Lengthofcurrentemployment,70.8071995973587,16,13
Purpose,13.786478042602539,10,13
Instalmentpercent,12.30570787191391,10,13
ConcurrentCredits,0.0,0,13
Typeofapartment,0.0,0,13
NoofCreditatthisBank,0.0,0,13
Guarantors,0.0,0,13
Occupation,0.0,0,13
Noofdependents,0.0,0,13
DurationinCurrentaddress,59.72653815150261,25,13
AccountBalance,32.495851159095764,16,14
ValueSavings,0.0,0,14
Age,66.24671858549118,42,14
Duration,29.446616917848587,21,14
Mostvaluableavailableasset,3.7329399585723877,2,14
CreditAmount,37.44314685463905,27,14
Sex&Marital_Status,0.0,0,14
PaymentStatusofPreviousCredit,0.0,0,14
Lengthofcurrentemployment,29.935378313064575,11,14
Purpose,24.26246815919876,15,14
Instalmentpercent,6.53484582901001,5,14
ConcurrentCredits,0.0,0,14
Typeofapartment,0.0,0,14
NoofCreditatthisBank,0.0,0,14
Guarantors,0.0,0,14
Occupation,0.0,0,14
Noofdependents,0.0,0,14
DurationinCurrentaddress,19.073104977607727,11,14
AccountBalance,11.611735820770264,9,15
ValueSavings,0.0,0,15
Age,64.5619528889656,40,15
Duration,42.94998186826706,23,15
Mostvaluableavailableasset,10.489096075296402,7,15
CreditAmount,31.458003014326096,21,15
Sex&Marital_Status,0.0,0,15
PaymentStatusofPreviousCredit,0.0,0,15
Lengthofcurrentemployment,11.781618773937225,7,15
Purpose,9.943433046340942,7,15
Instalmentpercent,15.95881998538971,10,15
ConcurrentCredits,0.0,0,15
Typeofapartment,0.0,0,15
NoofCreditatthisBank,0.0,0,15
Guarantors,0.0,0,15
Occupation,0.0,0,15
Noofdependents,0.0,0,15
DurationinCurrentaddress,40.16397613286972,26,15
AccountBalance,40.78563213348389,23,16
ValueSavings,0.0,0,16
Age,94.87550216913223,61,16
Duration,14.723103940486908,10,16
Mostvaluableavailableasset,4.272202968597412,4,16
CreditAmount,37.93277984857559,27,16
Sex&Marital_Status,0.0,0,16
PaymentStatusofPreviousCredit,0.0,0,16
Lengthofcurrentemployment,1.552880048751831,1,16
Purpose,2.9516440629959106,3,16
Instalmentpercent,25.819046914577484,13,16
ConcurrentCredits,0.0,0,16
Typeofapartment,0.0,0,16
NoofCreditatthisBank,0.0,0,16
Guarantors,0.0,0,16
Occupation,0.0,0,16
Noofdependents,0.0,0,16
DurationinCurrentaddress,10.164866864681244,8,16
AccountBalance,30.19807678461075,15,17
ValueSavings,0.0,0,17
Age,46.261183708906174,28,17
Duration,130.51330575346947,70,17
Mostvaluableavailableasset,3.693018913269043,3,17
CreditAmount,17.817209005355835,15,17
Sex&Marital_Status,0.0,0,17
PaymentStatusofPreviousCredit,0.0,0,17
Lengthofcurrentemployment,2.043899953365326,2,17
Purpose,5.736100077629089,4,17
Instalmentpercent,8.233831256628036,6,17
ConcurrentCredits,0.0,0,17
Typeofapartment,0.0,0,17
NoofCreditatthisBank,0.0,0,17
Guarantors,0.0,0,17
Occupation,0.0,0,17
Noofdependents,0.0,0,17
DurationinCurrentaddress,7.0501009821891785,7,17
AccountBalance,7.464904010295868,7,18
ValueSavings,0.0,0,18
Age,51.00085085630417,33,18
